epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.982789158821106,0.998326301574707,0.0010000000474974513,0.0695490688085556,0.9907965660095215,0.9707711338996887,0.9988806247711182,1.0,0.011798135004937649,1.0,0.9975124597549438
1,0.9984608292579651,0.9999473094940186,0.0010000000474974513,0.012760569341480732,0.9984447956085205,0.9981343150138855,1.0,1.0,0.006879997905343771,1.0,1.0
2,0.9977145791053772,0.9997736215591431,0.0010000000474974513,0.013876023702323437,0.9980284571647644,0.9968905448913574,1.0,0.9999999403953552,0.005506811197847128,1.0,1.0
3,0.9986007213592529,0.9998656511306763,0.0010000000474974513,0.00919297244399786,0.9980323314666748,0.9988598823547363,1.0,1.0,0.004622581414878368,1.0,1.0
4,0.9985541105270386,0.9998117089271545,0.0010000000474974513,0.009107599966228008,0.9982385039329529,0.9985489249229431,1.0,1.0,0.003831553505733609,1.0,1.0
5,0.9989739060401917,0.9999428987503052,0.0010000000474974513,0.0068506053648889065,0.9990667700767517,0.9986525774002075,1.0,1.0,0.003319677198305726,1.0,1.0
6,0.9992537498474121,0.9999435544013977,0.0010000000474974513,0.006107695400714874,0.9990673661231995,0.9992744326591492,1.0,1.0,0.0029699879232794046,1.0,1.0
7,0.9987872838973999,0.9999425411224365,0.0010000000474974513,0.006383776199072599,0.9986525774002075,0.9986525774002075,1.0,1.0,0.0026814041193574667,1.0,1.0
8,0.9989272356033325,0.9999949932098389,0.0010000000474974513,0.00562931876629591,0.9988597631454468,0.9987562298774719,1.0,1.0,0.0024149094242602587,1.0,1.0
9,0.9987872838973999,0.9998012781143188,0.0010000000474974513,0.007639206014573574,0.9986525774002075,0.9986525774002075,1.0,1.0,0.002345446730032563,1.0,1.0
10,0.9991137981414795,0.9999089241027832,0.0010000000474974513,0.005442197900265455,0.9989635944366455,0.9990671873092651,1.0,1.0,0.002159190597012639,1.0,1.0
